Time (IST),Latitude,Longitude,Course,kts,mph,meters,Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt
Tue 16:25:03,29.3724,77.137,296.0,282.0,325.0,5654.0,-131.0, FlightAware ADS-B  (VIDD) ,17.0,144.44444444444446,2455.5555555555557,-1.073386438613631
Tue 16:25:21,29.3892,77.1161,325.0,279.0,321.0,5624.0,-108.0, FlightAware ADS-B  (VIDD) ,18.0,142.66666666666666,2568.0,-0.6693584442929843
Tue 16:25:37,29.4088,77.1071,343.0,277.0,319.0,5593.0,-126.0, FlightAware ADS-B  (VIDX) ,16.0,141.77777777777777,2268.4444444444443,-0.783014306562604
Tue 16:26:12,29.4503,77.0926,343.0,278.0,320.0,5517.0,-152.0, FlightAware ADS-B  (IXC / VICG) ,35.0,142.22222222222223,4977.777777777778,-0.8748177664976157
Tue 16:26:43,29.4892,77.0792,343.0,277.0,319.0,5425.0,-155.0, FlightAware ADS-B  (VIDX) ,31.0,141.77777777777777,4395.111111111111,-1.199422858653593
Tue 16:27:14,29.5281,77.0658,343.0,277.0,319.0,5357.0,-150.0, FlightAware ADS-B  (VIDX) ,31.0,141.77777777777777,4395.111111111111,-0.8865005601829127
Tue 16:27:44,29.5658,77.053,343.0,276.0,318.0,5273.0,-155.0, FlightAware ADS-B  (VIDX) ,30.0,141.33333333333334,4240.0,-1.13517933154363
Tue 16:28:16,29.6033,77.0407,344.0,273.0,314.0,5197.0,-112.0, FlightAware ADS-B  (VIDX) ,32.0,139.55555555555554,4465.777777777777,-0.9751245314790641
Tue 16:28:33,29.6253,77.0369,1.0,275.0,316.0,5182.0,-25.0, FlightAware ADS-B  (DEL / VIDP) ,17.0,140.44444444444446,2387.5555555555557,-0.35996747575883414
Tue 16:28:52,29.6478,77.0467,34.0,287.0,330.0,5182.0,0.0, FlightAware ADS-B  (VIDX) ,19.0,146.66666666666666,2786.6666666666665,0.0
Tue 16:29:11,29.6636,77.0708,67.0,297.0,342.0,5182.0,0.0, FlightAware ADS-B  (VIDX) ,19.0,152.0,2888.0,0.0
Tue 16:29:32,29.6657,77.1029,101.0,305.0,351.0,5182.0,0.0, FlightAware ADS-B  (VIDX) ,21.0,156.0,3276.0,0.0
Tue 16:29:49,29.6544,77.1286,128.0,306.0,352.0,5182.0,0.0, FlightAware ADS-B  (DEL / VIDP) ,17.0,156.44444444444446,2659.5555555555557,0.0
Tue 16:30:08,29.6336,77.1453,155.0,302.0,348.0,5182.0,0.0, FlightAware ADS-B  (VIDX) ,19.0,154.66666666666666,2938.6666666666665,0.0
Tue 16:30:38,29.5934,77.1605,164.0,299.0,344.0,5182.0,0.0, FlightAware ADS-B  (VIDX) ,30.0,152.88888888888889,4586.666666666667,0.0
Tue 16:31:09,29.5516,77.1729,167.0,300.0,345.0,5182.0,0.0, FlightAware ADS-B  (VIDX) ,31.0,153.33333333333334,4753.333333333334,0.0
Tue 16:31:40,29.511,77.1851,164.0,301.0,346.0,5182.0,0.0, FlightAware ADS-B  (VIDD) ,31.0,153.77777777777777,4767.111111111111,0.0
Tue 16:32:10,29.4719,77.1984,163.0,299.0,344.0,5182.0,-80.0, FlightAware ADS-B  (LUH / VILD) ,30.0,152.88888888888889,4586.666666666667,0.0
Tue 16:32:43,29.4262,77.2141,164.0,294.0,338.0,5098.0,-143.0, FlightAware ADS-B  (VIDX) ,33.0,150.22222222222223,4957.333333333334,-0.9709001786513037
Tue 16:33:14,29.388,77.2269,163.0,294.0,338.0,5029.0,-145.0, FlightAware ADS-B  (VIDX) ,31.0,150.22222222222223,4656.888888888889,-0.8489688175612671
Tue 16:33:46,29.3469,77.2409,164.0,292.0,336.0,4945.0,-160.0, FlightAware ADS-B  (VIDX) ,32.0,149.33333333333334,4778.666666666667,-1.007204248215586
Tue 16:34:17,29.3041,77.2554,164.0,291.0,335.0,4862.0,-150.0, FlightAware ADS-B  (DEL / VIDP) ,31.0,148.88888888888889,4615.555555555556,-1.030386480026022
Tue 16:34:47,29.2652,77.2685,164.0,288.0,331.0,4793.0,-142.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,147.11111111111111,4413.333333333333,-0.8958239871284401
Tue 16:35:18,29.2266,77.2816,163.0,285.0,328.0,4717.0,-161.0, FlightAware ADS-B  (DEL / VIDP) ,31.0,145.77777777777777,4519.111111111111,-0.9636152824975686
Tue 16:35:55,29.179,77.2977,164.0,287.0,330.0,4610.0,-273.0, FlightAware ADS-B  (VIDX) ,37.0,146.66666666666666,5426.666666666666,-1.1297995799575047
Tue 16:36:25,29.1412,77.3104,164.0,286.0,329.0,4412.0,-335.0, FlightAware ADS-B  (VIDX) ,30.0,146.22222222222223,4386.666666666667,-2.587025831452466
Tue 16:36:55,29.103,77.3233,164.0,283.0,326.0,4275.0,-142.0, FlightAware ADS-B  (VIDX) ,30.0,144.88888888888889,4346.666666666667,-1.8061707070532609
Tue 16:37:26,29.0638,77.3365,164.0,287.0,330.0,4267.0,-8.0, FlightAware ADS-B  (DEL / VIDP) ,31.0,146.66666666666666,4546.666666666666,-0.1008137403118856
Tue 16:37:56,29.027,77.3488,164.0,285.0,328.0,4267.0,-7.0, FlightAware ADS-B  (VIDX) ,30.0,145.77777777777777,4373.333333333333,0.0
Tue 16:38:30,28.9824,77.3638,164.0,285.0,328.0,4260.0,-150.0, FlightAware ADS-B  (DEL / VIDP) ,34.0,145.77777777777777,4956.444444444444,-0.08091901249299129
Tue 16:39:00,28.9452,77.3762,163.0,283.0,326.0,4107.0,-282.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,144.88888888888889,4346.666666666667,-2.017192983676687
Tue 16:39:30,28.9085,77.3886,164.0,283.0,326.0,3978.0,-288.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,144.88888888888889,4346.666666666667,-1.7006689377396098
Tue 16:40:02,28.8672,77.4024,164.0,284.0,327.0,3810.0,-310.0, FlightAware ADS-B  (DEL / VIDP) ,32.0,145.33333333333334,4650.666666666667,-2.0701947394814693
Tue 16:40:32,28.8288,77.4152,164.0,277.0,319.0,3658.0,-297.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,141.77777777777777,4253.333333333333,-2.047996849982033
Tue 16:41:02,28.7926,77.4274,164.0,271.0,312.0,3513.0,-312.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,138.66666666666666,4160.0,-1.9974930751833628
Tue 16:41:32,28.7568,77.4391,164.0,266.0,306.0,3345.0,-282.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,136.0,4080.0,-2.359905171139414
Tue 16:42:02,28.7227,77.4502,164.0,249.0,287.0,3231.0,-224.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,127.55555555555556,3826.6666666666665,-1.707147752822015
Tue 16:42:19,28.7039,77.4573,155.0,241.0,277.0,3170.0,-253.0, FlightAware ADS-B  (DEL / VIDP) ,17.0,123.11111111111111,2092.888888888889,-1.6701974014893741
Tue 16:42:40,28.6881,77.4759,124.0,234.0,269.0,3071.0,-301.0, FlightAware ADS-B  (VIDD) ,21.0,119.55555555555556,2510.6666666666665,-2.2598591896001117
Tue 16:43:06,28.6736,77.503,121.0,236.0,272.0,2934.0,-257.0, FlightAware ADS-B  (DEL / VIDP) ,26.0,120.88888888888889,3143.111111111111,-2.498164761664951
Tue 16:43:37,28.656,77.5358,121.0,245.0,282.0,2827.0,-225.0, FlightAware ADS-B  (VIDD) ,31.0,125.33333333333333,3885.333333333333,-1.578094614546412
Tue 16:44:05,28.6388,77.5675,124.0,236.0,272.0,2713.0,-229.0, FlightAware ADS-B  (DEL / VIDP) ,28.0,120.88888888888889,3384.8888888888887,-1.9300350797346413
Tue 16:44:23,28.6244,77.58,156.0,226.0,260.0,2652.0,-229.0, FlightAware ADS-B  (DEL / VIDP) ,18.0,115.55555555555556,2080.0,-1.6805498751204624
Tue 16:44:39,28.6093,77.582,185.0,215.0,247.0,2583.0,-291.0, FlightAware ADS-B  (DEL / VIDP) ,16.0,109.77777777777777,1756.4444444444443,-2.251381385353516
Tue 16:44:56,28.5941,77.5731,226.0,199.0,229.0,2492.0,-290.0, FlightAware ADS-B  (DEL / VIDP) ,17.0,101.77777777777777,1730.2222222222222,-3.014828170372952
Tue 16:45:20,28.5822,77.5542,237.0,197.0,227.0,2385.0,-297.0, FlightAware ADS-B  (VIDX) ,24.0,100.88888888888889,2421.333333333333,-2.5327555704593308
Tue 16:45:36,28.5738,77.5393,237.0,196.0,226.0,2294.0,-314.0, FlightAware ADS-B  (DEL / VIDP) ,16.0,100.44444444444444,1607.111111111111,-3.246014586281132
Tue 16:45:55,28.5646,77.522,246.0,194.0,223.0,2202.0,-286.0, FlightAware ADS-B  (VIDX) ,19.0,99.11111111111111,1883.111111111111,-2.8003185074523445
Tue 16:46:16,28.5615,77.5014,268.0,194.0,223.0,2103.0,-287.0, FlightAware ADS-B  (VIDD) ,21.0,99.11111111111111,2081.3333333333335,-2.726340455572505
Tue 16:46:46,28.5616,77.4712,272.0,193.0,222.0,1958.0,-297.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,98.66666666666667,2960.0,-2.8078426787021025
Tue 16:47:16,28.5624,77.4408,272.0,189.0,217.0,1806.0,-290.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,96.44444444444444,2893.3333333333335,-3.011394959585583
Tue 16:47:46,28.5631,77.4108,272.0,188.0,216.0,1669.0,-278.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,96.0,2880.0,-2.726557359818044
